Source IP: 172.27.112.1, Destination IP: 172.27.127.255, Protocol: 17
Source IP: 172.27.112.1, Destination IP: 224.0.0.251, Protocol: 17
Source IP: 0.0.0.0, Destination IP: 232.75.253.227, Protocol: 128
Source IP: 172.27.112.1, Destination IP: 224.0.0.251, Protocol: 17
Source IP: 0.0.0.0, Destination IP: 232.75.253.227, Protocol: 128
Source IP: 172.27.112.1, Destination IP: 224.0.0.251, Protocol: 17
Source IP: 0.0.0.0, Destination IP: 232.75.253.227, Protocol: 128
Source IP: 172.27.112.1, Destination IP: 224.0.0.251, Protocol: 17
Source IP: 0.0.0.0, Destination IP: 232.75.253.227, Protocol: 128
Source IP: 172.27.112.1, Destination IP: 224.0.0.251, Protocol: 17
Source IP: 0.0.0.0, Destination IP: 232.75.253.227, Protocol: 128
Source IP: 172.27.112.1, Destination IP: 224.0.0.251, Protocol: 17
Source IP: 0.0.0.0, Destination IP: 232.75.253.227, Protocol: 128
Source IP: 172.27.112.1, Destination IP: 172.27.127.255, Protocol: 17
